"X","Leader","TeamNumber","ID","Mach_1","Mach_2","Mach_3","Mach_4","Mach_5","Mach_6","Mach_7","Mach_8","Mach_9","Mach_10","Mach_11","Mach_12","Mach_13","Mach_14","Mach_15","Mach_16","Mach_17","Mach_18","Mach_19","Mach_20","TeamPerformance_1","TeamPerformance_2","TeamPerformance_3","TeamPerformance_4","TeamInnovation_1","TeamInnovation_2","TeamInnovation_3","TeamInnovation_4","Psycho1","Psycho2","Psycho3","Psycho4","Narc1","Narc2","Narc3","Narc4","Progroup_unethical_1","Progroup_unethical_2","Progroup_unethical_3","Progroup_unethical_4","Progroup_unethical_5","Big5_1","Big5_2","Big5_3","Big5_4","Big5_5","Big5_6","Big5_7","Big5_8","Big5_9","Big5_10","Big5_11","Big5_12","Big5_13","Big5_14","Big5_15","Big5_16","Big5_17","Big5_18","Big5_19","Big5_20","Big5_21","Big5_22","Big5_23","Big5_24","Big5_25","Big5_26","Big5_27","Big5_28","Big5_29","Big5_30","Big5_31","Big5_32","Big5_33","Big5_34","Big5_35","Big5_36","Big5_37","Big5_38","Big5_39","Big5_40","Big5_41","Big5_42","Big5_43","Big5_44","LeaderEffectiveness_1","LeaderEffectiveness_2","LeaderEffectiveness_3","LeaderEffectiveness_4","HelpingBehavior_1","HelpingBehavior_2","HelpingBehavior_3","HelpingBehavior_4","HelpingBehavior_5","HelpingBehavior_6","HelpingBehavior_7","PerformancePressure_1","PerformancePressure_2","PerformancePressure_3","PerformancePressure_4","ProactivePerformance_1","ProactivePerformance_2","TeamAdapt_1","TeamAdapt_2","TeamAdapt_3","Intra_Competition_1","Intra_Competition_2","Intra_Competition_3","Intra_Competition_4","ClientSatisfaction","No.Complaints","No.IdeasContributed","TurnaroundTime","Gender","Age","attentionCheck"
1,0,"1",11,1,3,7,4,4,3,5,5,3,4,4,3,5,7,5,4,5,6,4,3,4,4,5,3,7,2,6,7,6,4,2,3,3,1,2,2,5,4,1,1,1,5,1,7,4,7,6,7,4,5,7,7,2,6,4,6,7,7,4,5,6,7,5,2,5,6,4,2,6,5,7,5,4,5,6,7,7,2,5,4,6,5,4,5,6,"2","3","4","3","7","7","6","7","7","7","6","5","6","7","6","4","3","3","4","4","5","4","6","2","0.95",1,8,"23",1,28,2
2,0,"1",12,1,7,5,7,7,6,6,6,5,6,6,6,5,4,3,2,6,6,4,6,3,3,2,2,5,6,5,6,2,6,4,4,5,4,6,4,1,1,1,1,1,2,2,5,4,5,5,6,4,6,7,6,4,6,5,6,6,3,3,2,5,5,5,5,5,6,6,6,5,5,6,5,5,6,6,5,5,5,5,4,6,2,6,4,6,"4","3","4","5","7","4","4","6","6","6","6","6","6","5","6","4","3","3","3","4","4","4","4","4","0.95",1,6,"20",1,25,2
3,0,"1",13,2,6,6,2,6,6,2,6,3,6,6,2,6,2,6,2,2,6,2,6,3,3,3,3,5,5,5,5,1,1,1,5,6,6,6,2,1,1,2,3,3,1,1,7,1,5,6,6,2,6,6,4,1,6,1,6,6,4,2,2,5,6,3,6,7,5,6,1,6,2,6,6,6,6,5,6,6,2,6,2,5,6,5,2,5,"3","3","3","3","6","6","6","6","6","6","6","6","6","5","6","4","3","4","3","3","5","5","6","6","0.95",1,7,"21",1,29,2
4,0,"1",14,4,7,6,4,2,3,5,5,4,6,2,6,3,3,6,2,3,5,4,4,4,4,4,4,6,4,5,5,4,4,4,4,4,4,4,4,1,2,2,1,1,3,3,4,3,4,3,4,2,5,5,6,3,6,5,5,4,5,4,4,5,4,5,3,5,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,"3","2","4","4","6","6","6","6","5","6","6","2","4","6","4","3","3","3","4","2","3","2","3","4","0.95",1,8,"22",1,24,2
5,1,"1",1001,6,4,3,5,3,5,5,4,5,5,3,3,3,6,5,4,4,3,2,2,5,3,3,5,4,3,5,5,4,3,5,3,4,2,4,4,5,3,4,5,2,4,3,3,5,4,6,3,5,5,3,4,4,6,4,2,5,5,4,7,3,2,5,6,3,2,4,5,4,5,6,4,3,4,4,3,4,3,2,3,2,2,3,5,5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,".",1,35,2
6,0,"2",21,5,6,6,4,5,3,5,7,4,6,2,6,2,2,5,3,2,6,6,6,3,3,4,3,6,6,6,7,2,2,2,2,5,5,5,6,2,2,1,3,4,5,3,5,2,6,3,6,3,6,6,6,1,6,4,6,5,5,2,3,6,4,6,2,6,5,4,4,5,4,5,4,6,5,6,5,5,4,5,5,6,5,6,2,5,"4","3","4","4","6","6","6","6","6","6","6","4","3","4","6","4","4","4","4","5","5","5","3","4","0.9",3,10,"30",1,32,2
7,0,"2",22,6,7,5,6,7,5,1,1,4,2,6,6,7,6,5,1,2,5,5,1,3,3,2,2,6,2,6,6,2,2,2,2,1,1,4,1,2,1,1,1,1,1,1,6,2,6,4,7,2,6,7,6,2,6,5,5,6,7,3,5,6,6,6,2,6,6,6,2,6,2,6,5,6,6,6,6,6,2,6,4,5,5,6,2,3,"3","4","4","3","5","6","6","6","6","6","6","6","4","5","6","4","4","4","3","2","4","1","2","4","0.9",3,6,"24",1,22,2
8,0,"2",23,6,7,5,4,4,3,7,5,6,4,4,6,3,4,6,5,6,5,3,7,3,3,3,3,5,5,5,5,4,4,5,5,5,5,6,5,4,4,3,5,2,5,4,5,3,6,5,6,2,7,6,7,5,7,5,6,6,7,3,3,7,4,6,4,5,6,6,6,6,6,6,4,6,7,6,7,6,5,6,2,6,6,6,2,6,"4","4","4","5","6","6","5","6","5","7","6","6","5","4","6","4","4","3","3","4","3","4","5","4","0.9",3,8,"26",1,22,2
9,0,"2",24,6,4,5,4,6,3,5,3,5,6,5,4,4,3,4,3,5,4,4,6,3,4,4,5,4,3,3,5,5,6,4,6,3,6,5,4,5,6,4,2,3,3,4,5,5,4,6,5,4,5,4,5,6,6,5,4,5,5,5,5,4,5,4,4,5,4,5,6,5,5,4,4,5,4,3,2,4,3,3,6,5,4,6,4,5,"3","4","3","4","4","6","5","6","7","7","7","6","5","5","6","3","4","3","4","2","4","6","2","4","0.9",3,7,"24",1,32,2
10,1,"2",1002,6,4,5,3,3,2,2,5,2,3,2,3,4,5,4,5,5,3,3,5,4,3,4,4,5,3,3,5,4,4,4,6,5,4,5,5,4,3,6,3,5,4,4,6,6,4,5,1,5,5,4,3,4,5,5,6,5,6,4,5,5,4,4,5,6,6,2,4,4,5,3,5,4,5,4,4,6,3,3,3,3,3,6,4,5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,".",1,39,2
